01,団体名,・団体名称（漢字）について、「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい団体名をご記入ください。誤って記入された場合は二重線で取消しをお願いします。
02,カナ団体名,・団体名称（カナ）について、「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい団体名をご記入ください。誤って記入された場合は二重線で取消しをお願いします。
03,団体種類,・団体種類が未選択または複数選択されています。一つの選択をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
04,事業内容（業種）,・業種が未選択または複数選択されています。一つの選択載をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
05,設立年月日,・設立年月日が未記載または記載に誤りがあると思われます。「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい設立年月日を回答欄に西暦の数字8桁での記載をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
06,郵便番号,・郵便番号が未記載または記載に誤りがあると思われます。「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい郵便番号を回答欄に西暦の数字7桁での記載をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
07,所在地,・所在地（漢字）について、「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい所在地を回答欄に記載をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
08,本店所在国,・本店所在国が未記載または記載に誤りがあると思われます。「変更なし」か「変更あり」のいずれか片方をご選択いただき、「変更あり」の場合のみ新しい本店所在国の国籍を回答欄に記載をお願いいたします。誤って記入された場合は二重線で取消しをお願いします。
09,第一電話番号,・電話番号の記載がない、または記載に誤りがあると思われます。回答欄に数字10桁または11桁での記載をお願いいたします。
10,取引目的,・取引目的の選択がございません。回答欄に選択をお願いいたします。（最大6つまで)
11,取引目的選択超過,・取引目的が７つ以上選されています。再度回答欄に６つまでの選択をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
12,取引形態,・取引形態が未選択または複数選択されています。回答欄に1つの選択をお願いしたします。\n誤って記入された場合は二重線で取消しをお願いします。
13,取引頻度,・取引頻度が未選択または複数選択されています。回答欄に1つの選択をお願いしたします。\n誤って記入された場合は二重線で取消しをお願いします。
14,1回あたり取引金額,・1回あたり取引金額が未選択または複数選択されています。回答欄に1つの選択をお願いしたします。\n誤って記入された場合は二重線で取消しをお願いします。
15,200万円超現金取引の頻度,・200万円超現金取引の頻度が未選択または複数選択されています。回答欄に1つの選択をお願いしたします。\n誤って記入された場合は二重線で取消しをお願いします。
16,200万円超現金取引の金額,・200万円超現金取引の金額が未選択または複数選択されています。回答欄に1つの選択をお願いしたします。\n誤って記入された場合は二重線で取消しをお願いします。
17,200万円超現金取引の原資,・200万円超現金取引の原資が未選択または4つ以上選択されています。回答欄に3つまでの選択をお願いしたします。\n誤って記入された場合は二重線で取消しをお願いします。
18,代表者の漢字氏名,・代表者様の漢字氏名について、「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい代表者様の氏名を回答欄にフルネームでの記載をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
19,代表者のカナ氏名,・代表者様のカナ氏名について、「変更なし」か「変更あり」のいずれか片方をご選択いただき、\n「変更あり」の場合のみ新しい代表者様の氏名を回答欄にフルネームでの記載をお願いいたします。\n誤って記入された場合は二重線で取消しをお願いします。
